Glyph Name, Unicode, Character, Description, Glyph Set, Optional,Exclude
Ahoi,7842,Ả,LATIN CAPITAL LETTER A WITH HOOK ABOVE,GF-latin-plus,FALSE,FALSE
Ainvertedbreve,514,Ȃ,LATIN CAPITAL LETTER A WITH INVERTED BREVE,GF-latin-plus,FALSE,FALSE
Amacron,256,Ā,LATIN CAPITAL LETTER A WITH MACRON,GF-latin-plus,FALSE,FALSE
Aogonek,260,Ą,LATIN CAPITAL LETTER A WITH OGONEK,GF-latin-plus,FALSE,FALSE
Aring,197,Å,LATIN CAPITAL LETTER A WITH RING ABOVE,GF-latin-core,FALSE,FALSE
Aringacute,506,Ǻ,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE,GF-latin-plus,FALSE,FALSE
Atilde,195,Ã,LATIN CAPITAL LETTER A WITH TILDE,GF-latin-core,FALSE,FALSE
AE,198,Æ,LATIN CAPITAL LETTER AE,GF-latin-core,FALSE,FALSE
AEacute,508,Ǽ,LATIN CAPITAL LETTER AE WITH ACUTE,GF-latin-plus,FALSE,FALSE
Cacute,262,Ć,LATIN CAPITAL LETTER C WITH ACUTE,GF-latin-plus,FALSE,FALSE
Ccaron,268,Č,LATIN CAPITAL LETTER C WITH CARON,GF-latin-plus,FALSE,FALSE
Ccedilla,199,Ç,LATIN CAPITAL LETTER C WITH CEDILLA,GF-latin-core,FALSE,FALSE
Ccedillaacute,7688,Ḉ,LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE,GF-latin-pro,FALSE,FALSE
Ccircumflex,264,Ĉ,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,GF-latin-plus,FALSE,FALSE
Cdotaccent,266,Ċ,LATIN CAPITAL LETTER C WITH DOT ABOVE,GF-latin-plus,FALSE,FALSE
Dcaron,270,Ď,LATIN CAPITAL LETTER D WITH CARON,GF-latin-plus,FALSE,FALSE
Ddotbelow,7692,Ḍ,LATIN CAPITAL LETTER D WITH DOT BELOW,GF-latin-pro,FALSE,FALSE
Dlinebelow,7694,Ḏ,LATIN CAPITAL LETTER D WITH LINE BELOW,GF-latin-pro,FALSE,FALSE
Dcroat,272,Đ,LATIN CAPITAL LETTER D WITH STROKE,GF-latin-plus,FALSE,FALSE
Eth,208,Ð,LATIN CAPITAL LETTER ETH,GF-latin-core,FALSE,FALSE
Eacute,201,É,LATIN CAPITAL LETTER E WITH ACUTE,GF-latin-core,FALSE,FALSE
Ebreve,276,Ĕ,LATIN CAPITAL LETTER E WITH BREVE,GF-latin-plus,FALSE,FALSE
Ecaron,282,Ě,LATIN CAPITAL LETTER E WITH CARON,GF-latin-plus,FALSE,FALSE
Ecedillabreve,7708,Ḝ,LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE,GF-latin-pro,FALSE,FALSE
Ecircumflex,202,Ê,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,GF-latin-core,FALSE,FALSE
